5DC	Shelf	Pallet #	SKU	UNIT QTY
31312	D1	765	R6234-wh-trim	99
32566			R-SLGP5-WH	399
33110			R-SLSW4-WH	599
30515	D2	66	R3212	30
31280	D3	707	R6232-BK-TRI	90
30451	D4	43	R3206-UGR19-30-CW	72
32441	D5	767	R-SLGP2-WH	1599
32481			R-SLGP3-WH	799
32525			R-SLGP4-WH	599
32938	D6	790	r3056	48
30006	D7	799	R6241-EYELID-BK	99
30046			R6052-BK-TRI	130
31037	D8	7	R3540-EM-TRI	96
17458	D9		R2322-DL-15	2
0			R2321-WW-5-V2	25
17179			R2321-WW-15-V2	12
17521			R2322-RGBW-5	27
29965	D10	693	R3240-BK-LRG-60	20
34934	D11	166	R999-BOX-WH	28
0	D12		R3206-TRI-V2 (NO DRIVERS)	60
31296	D13	299	R-SW3-WH-V1	1800
29904	D14	991	R3540-TRI	96
34934	D15	167	R999-BOX-WH	64
31037	D16	8	R3540-EM-TRI	96
30058	D17	53	R3226-40-BK-DL	40
46400	D18	258	R1355-40-WH-WW	96
0	D19	43	R2582-BK-TRI-60	171
31650	D20	44	R2582-WH-TRI-60	204
32969	D21	662	R6090-12V-WH-CW	107
29786			R6090-12V-BK-CW	72
11719			R3241-BK-070-60	28
0	D22	42	R2582-BK-TRI-60	103
30228	D23	C16	R1094-35-BK-SIL-WW	120
30035	D24	766	R6240-S-WH-TRI	60
29904	D25	989	R3540-TRI	96
30470	D26	929	R1074-BK	95
30562			R1075-BK	144
30794			R1308-WW	59
30310	D27	756	R8001-5M	200
10086	D28	64	R3206-UGR19-25-DL	96
0	D29		STRIP REELS + ACCESSORIES	
31422	D30	711	R6232-WH-TRI	90
31422	D31	713	R6232-WH-TRI	90
30880	D32	798	R6240-WH-TRI	100
31283	D33	296	R-SW2-WH-V1	1699
31283		298	R-SW2-WH-V1	1684
30495	D34	751	R107M-CW-60-S	95
30310			R8001-5M	99
30044	D35	C77	R2126-DIFFUSER-DEEP	100
31580	D36	976	R6016-WW	200
31506			R6017-WW	100
31205			R6018-WW	200
72452	D37	442	R3118-REFLECTOR-AL	49
72371			R3117-REFLECTOR-AL	49
72854			R3145	80
31280	D38	709	R6232-BK-TRI	90
31280	D39	706	R6232-BK-TRI	90
30348	D40	973	R3230-040	16
40111	D41	957	R3580	144
30749	D42	970	R6053-WH-TRI	440
30653	D43	60	R6335-1000	36
29965	D44	49	R3240-BK-LRG-60	25
0	D45			
31386	D46	874	R3560-TRI	90
30476	D47	761	R6392	60
10080			R6395-TRI	32
30704	D48	75	R6240-EM-WH-TRI	99
0	D49		ST40-060	2
30480			R6332-500	1
31238			R3206-cw-v2	2
0			LIN-WPO1-040-BK	2
90116			DOM-20635	2
30367			R6236-BK	2
96597			R6022-WH	2
89928	D50	764	r3206-ugr19-30-3500k	2
30207			R3114	1
0			R3040-100	1
18186			R3206-TRI-V2	6
30319			R6230-S-BK-TRI	5
43837			R1152-SIL-CW	1
16831			R3243-020-CW	1
43858			R1083-BK-WW	24
30115			R3540-CW	3
30598			R9998-V1	1
31563			R-GP2-WH-V1	1
31296			R-SW3-WH-V1	2
31432			R-GPO2-WH-V1	101
31359			R-GPO1-WH-V1	4
31283			R-SW2-WH-V1	3
31597			R-SLSW1-WH-V1	7
31350			R-SLGPO2-WH-V1	10
31619			R-SLSW2-WH-V1	11
31279			R-SW1-WH-V1	6
31470			R-GPO2X-WH-V1	12
31374			R-SLGPO2X-WH-V1	4
31330			R-SLGPO1-WH-V1	8
30207			R3114	1
30773	D51	65	R6240-EM-S-BK-TRI	70
30275	D52	885	R6390-BK-TRI	95
0	D53		ST11-240	1
0			R3220-BLK-4M	1
0			R3221	1
0			R1158-BK-35W-CW-60	1
96567			R6001-EXT	5
0			Smt-012-030vthwh	4
0			R3240-bk-med-pe	1
90118			HV3003T-BLK-240V	5
0			R6001-DL	5
0			ZAC-8-BLK-WW	1
92347			VEN-SKYWCM-2	2
93799			STARFR48	2
43831	D54	107	R1167	28
34572			R2515-WH-WW	5
35162			R2513-BK-WW	40
31095	D55	996	R3570-EM-TRI	48
0	D56	D56	LARGE BOXES	
30821	D57	D57	R1204-WH-WW	1
42139			R1204-SC-WW	10
42090			R1201-SC-WW	7
42278			R1201-SC-CW	4
0			R2112-s	6
47333			R2320-dl-10	15
47390			R2320-dl-15	1
